station_id,avg_summer_temperature,avg_winter_ temperature,avg_summer_ precipitation ,avg_winter_precipitation,coordinates
D7E8F9G0H1,23,3,90,345,56.283 -120.800
I2J3K4L5M6,29,2,100,554,56.350 -120.800
N7O8P9Q0R1,26,4,101,532,54.016 -125.667
S2T3U4V5W6,35,3,107,532,50.520 -127.367
X7Y8Z9A0B1,30,2,100,332,48.800 -123.417
C2D3E4F5G6,32,7,89,343,49.600 -116.533
H7I8J9K0L1,19,5,80,234,52.800 -121.283
M2N3O4P5Q6,23,4,70,234,49.850 -119.433
R7S8T9U0V1,34,6,27,124,53.950 -123.217
W2X3Y4Z5A6,34,7,23,455,52.383 -126.750
B7C8D9E0F1,35,8,23,332,48.872 -123.322
G2H3I4J5K6,23,5,45,451,52.900 -131.383
L7M8N9O0P1,36,4,23,123,51.333 -121.883
Q2R3S4T5U6,34,2,80,321,55.600 -128.867
V7W8X9Y0Z1,19,3,90,213,50.200 -127.683
A3B4C5D6E7,36,4,34,123,51.083 -123.317
F8G9H0I1J2,23,5,56,234,51.116 -123.283
K3L4M5N6O7,35,3,78,100,49.737 -118.926
P8Q9R0S1T2,23,12,30,200,54.617 -122.583
U3V4W5X6Y7,18,3,200,340,50.583 -122.833
Z8A9B0C1D2,32,5,34,450,53.217 -128.833
E3F4G5H6I7,30,6,50,560,53.217 -128.750
J8K9L0M1N2,23,7,78,500,51.550 -125.967
O3P4Q5R6S7,34,12,100,450,50.083 -122.950
T8U9V0W1X2,29,10,200,160,54.317 -124.817
Y3Z4A5B6C7,32,7,300,356,50.933 -118.117
D8E9F0G1H2,46,5,80,234,49.633 -126.517
I3J4K5L6M7,23,13,67,345,57.633 -130.417
N8O9P0Q1R2,34,2,90,554,50.317 -121.333
S3T4U5V6W7,43,3,100,532,52.116 -119.333
X8Y9Z0A1B2,34,5,290,532,52.083 -119.267
C3D4E5F6G7,22,3,233,332,53.717 -123.083
H8I9J0K1L2,34,1,70,343,55.917 -122.517
M3N4O5P6Q7,35,3,89,234,48.966 -123.616
R8S9T0U1V2,32,6,234,234,51.250 -121.250
W3X4Y5Z6A7,35,9,234,124,49.467 -117.283
B8C9D0E1F2,30,2,90,455,56.767 -130.933
G3H4I5J6K7,32,7,50,332,51.600 -126.833
L8M9N0O1P2,19,5,78,451,49.083 -118.650
Q3R4S5T6U7,23,4,100,123,49.367 -123.383
V8W9X0Y1Z2,34,6,200,321,53.050 -121.083
A4B5C6D7E8,34,7,300,213,50.600 -127.583
F9G0H1I2J3,35,8,80,123,49.512 -124.709
K4L5M6N7O8,23,5,67,234,49.782 -123.162
B2C3D4E5F6,36,4,90,124,50.006 -123.119
G7H8I9J0K1,34,2,100,455,49.514 -119.264
L2M3N4O5P6,19,3,290,332,49.193 -121.681
Q7R8S9T0U1,36,4,233,451,51.569 -120.859
V2W3X4Y5Z6,23,5,70,123,50.983 -123.300
A7B8C9D0E1,35,3,89,321,55.867 -129.983
F2G3H4I5J6,23,12,234,213,49.356 -120.024
K7L8M9N0O1,18,3,234,123,49.923 -119.236
P2Q3R4S5T6,32,5,70,234,49.915 -119.222
U7V8W9X0Y1,30,6,57,332,50.780 -126.785
Z2A3B4C5D6,23,7,5,343,50.783 -126.783
E7F8G9H0I1,34,12,6,234,49.551 -123.967
J2K3L4M5N6,29,10,25,234,50.833 -121.500
O7P8Q9R0S1,32,7,30,124,57.433 -122.738
T2U3V4W5X6,46,5,70,455,50.716 -116.750
Y7Z8A9B0C1,23,13,23,332,54.683 -126.833
D2E3F4G5H6,23,4,80,451,52.000 -123.083
I7J8K9L0M1,23,1,100,123,50.907 -126.639
N2O3P4Q5R6,30,2,34,321,51.338 -116.574
S7T8U9V0W1,23,3,56,213,48.807 -123.508
X2Y3Z4A5B6,34,10,78,123,54.216 -127.700
C7D8E9F0G1,28,14,30,234,54.216 -125.766
H2I3J4K5L6,34,10,200,124,52.502 -127.620
M7N8O9P0Q1,27,7,34,455,50.608 -126.859
R2S3T4U5V6,27,6,50,332,50.774 -120.011
W7X8Y9Z0A1,27,2,78,451,56.027 -121.647
B3C4D5E6F7,36,3,90,123,53.083 -129.267
G8H9I0J1K2,28,2,100,321,54.600 -128.150
L3M4N5O6P7,28,4,101,213,54.171 -126.654
Q8R9S0T1U2,32,3,107,123,50.233 -123.167
V3W4X5Y6Z7,19,2,89,234,50.216 -123.183
A8B9C0D1E2,23,7,67,332,51.634 -128.121
F3G4H5I6J7,34,5,83,343,50.250 -119.283
K8L9M0N1O2,34,4,23,234,51.778 -120.907
P3Q4R5S6T7,35,6,45,234,50.607 -126.753
U8V9W0X1Y2,23,7,23,124,50.766 -128.300
Z3A4B5C6D7,36,8,80,455,52.133 -121.717
E8F9G0H1I2,34,5,100,332,52.633 -120.817
J3K4L5M6N7,19,3,34,451,52.933 -123.250
O8P9Q0R1S2,36,12,56,123,52.967 -120.967
T3U4V5W6X7,23,3,78,321,48.651 -124.670
Y8Z9A0B1C2,35,5,30,213,54.600 -123.483
D3E4F5G6H7,23,6,30,123,51.433 -127.950
I8J9K0L1M2,18,7,70,234,49.225 -121.240
N3O4P5Q6R7,32,12,23,124,51.416 -121.438
S8T9U0V1W2,30,7,80,455,49.916 -127.733
X3Y4Z5A6B7,23,12,100,332,49.116 -120.257
C8D9E0F1G2,34,10,34,451,50.783 -120.083
H3I4J5K6L7,29,7,56,123,52.550 -128.650
M8N9O0P1Q2,32,5,78,321,56.400 -120.233
R3S4T5U6V7,46,13,30,213,52.433 -122.433
W8X9Y0Z1A2,23,4,200,123,50.482 -126.357
B4C5D6E7F8,34,1,34,234,49.166 -117.533
G9H0I1J2K3,29,2,50,332,50.533 -120.600
L4M5N6O7P8,32,3,78,343,56.289 -120.857
Q9R0S1T2U3,46,10,30,234,50.820 -119.688
V4W5X6Y7Z8,23,14,70,234,51.333 -121.533
A9B0C1D2E3,34,10,23,124,51.366 -121.533
F4G5H6I7J8,43,7,80,455,50.150 -127.533
K9L0M1N2O3,34,6,100,332,48.833 -123.767
P4Q5R6S7T8,30,2,34,451,50.283 -121.017
U9V0W1X2Y3,32,3,56,123,53.783 -123.183
Z4A5B6C7D8,46,2,78,321,49.0660 -121.8500
E9F0G1H2I3,23,5,30,213,49.1100 -121.9500
J4K5L6M7N8,34,4,200,123,56.9333 -131.8333
O9P0Q1R2S3,29,6,34,234,49.0400 -118.2100
T4U5V6W7X8,32,7,50,124,51.0667 -120.1667
Y9Z0A1B2C3,46,8,78,455,56.6344 -129.2097
D4E5F6G7H8,23,5,91,332,53.8000 -128.9000
I9J0K1L2M3,34,3,90,451,51.0000 -122.4000
N4O5P6Q7R8,43,12,96,123,54.4000 -122.6000
S9T0U1V2W3,20,3,98,321,50.9500 -119.1000
X4Y5Z6A7B8,23,5,200,213,50.8333 -126.9167
C9D0E1F2G3,18,6,96,123,50.4667 -126.7167
H4I5J6K7L8,32,6,70,234,50.4500 -126.7000
M9N0O1P2Q3,30,7,80,345,56.8667 -120.7167
R4S5T6U7V8,23,10,68,102,49.2550 -125.5786
W9X0Y1Z2A3,34,11,90,435,49.2875 -125.8125
B5C6D7E8F9,20,5,10,100,52.3667 -126.5833
G0H1I2J3K4,25,4,5,200,49.1583 -126.0056
L5M6N7O8P9,35,1,6,340,50.4000 -123.4667
Q0R1S2T3U4,16,2,25,450,53.4333 -124.1333
V5W6X7Y8Z9,22,3,30,560,52.2700 -127.8800
A0B1C2D3E4,26,10,70,500,52.2450 -128.1330
F5G6H7I8J9,29,14,23,450,52.2550 -128.1167
K0L1M2N3O4,30,10,80,160,49.6833 -116.9333
P5Q6R7S8T9,34,7,100,356,49.7667 -120.9333
U0V1W2X3Y4,32,6,34,234,48.8250 -123.4306
Z5A6B7C8D9,19,2,56,345,50.2333 -115.8000
E0F1G2H3I4,23,3,78,554,50.2000 -115.8000
J5K6L7M8N9,29,2,30,532,49.5981 -125.1042
O0P1Q2R3S4,26,4,200,532,49.2044 -119.0278
T5U6V7W8X9,35,3,34,332,50.0167 -124.8333
Y0Z1A2B3C4,30,2,50,343,57.0000 -130.0000
D5E6F7G8H9,32,7,78,234,49.3667 -121.4333
I0J1K2L3M4,19,5,90,234,49.5000 -121.3333
N5O6P7Q8R9,23,4,100,124,49.5500 -121.0000
S0T1U2V3W4,34,6,101,455,50.6639 -126.8072
X5Y6Z7A8B9,34,7,107,332,50.6000 -120.7167
C0D1E2F3G4,35,8,89,451,50.2167 -125.3167
G1H2I3J4K5,23,5,67,123,53.9667 -122.4500
L6M7N8O9P0,36,4,83,321,50.2156 -119.3514
Q1R2S3T4U5,34,2,23,213,48.7500 -123.6167
V6W7X8Y9Z0,19,3,45,123,51.0333 -121.7500
A2B3C4D5E6,20,5,23,234,57.0783 -127.6636
F7G8H9I0J1,25,4,80,100,52.4750 -128.5633
K2L3M4N5O6,35,1,100,200,49.0167 -125.4000
P7Q8R9S0T1,16,2,34,340,54.5833 -123.0833
U2V3W4X5Y6,22,3,56,450,49.6500 -114.6167
Z7A8B9C0D1,26,10,78,560,49.0333 -122.0167
E2F3G4H5I6,29,14,30,500,51.9500 -117.2000
J7K8L9M0N1,30,10,200,450,49.3981 -123.2033
O2P3Q4R5S6,34,7,34,160,54.0833 -133.0333
T7U8V9W0X1,32,6,50,356,53.9000 -123.4000
Y2Z3A4B5C6,19,2,78,234,53.0167 -128.1333
D7E8F9G0H1,23,3,90,345,58.1667 -130.1667
I2J3K4L5M6,29,2,100,554,53.8667 -129.9167
N7O8P9Q0R1,26,4,101,532,56.7167 -129.9500
S2T3U4V5W6,35,3,107,532,57.3500 -130.8000
X7Y8Z9A0B1,30,2,100,332,49.9000 -119.8667
C2D3E4F5G6,32,7,89,343,49.2833 -122.3533
H7I8J9K0L1,19,5,80,234,50.6500 -127.3667
M2N3O4P5Q6,23,4,70,234,48.6667 -123.4667
R7S8T9U0V1,34,6,27,124,52.4167 -126.9500
W2X3Y4Z5A6,34,7,23,455,52.4667 -126.8333
B7C8D9E0F1,35,8,23,332,57.5000 -126.9167
G2H3I4J5K6,23,5,45,451,57.7833 -130.9000
L7M8N9O0P1,36,4,23,123,49.5333 -124.8167
Q2R3S4T5U6,34,2,80,321,50.1500 -124.8000
V7W8X9Y0Z1,22,3,30,560,53.0000 -129.1667
A3B4C5D6E7,26,10,70,500,53.0500 -129.2833
F8G9H0I1J2,29,14,23,450,54.2833 -130.3167
K3L4M5N6O7,30,10,80,160,48.9333 -123.5833
P8Q9R0S1T2,34,7,100,356,48.4167 -123.2667
U3V4W5X6Y7,32,6,34,234,50.3833 -127.8333
Z8A9B0C1D2,19,2,56,345,52.0500 -122.2833
E3F4G5H6I7,23,3,78,554,55.2500 -124.4833
J8K9L0M1N2,29,2,30,532,51.2167 -121.3167
O3P4Q5R6S7,26,4,200,532,52.9333 -122.4000
T8U9V0W1X2,35,3,34,332,49.8333 -119.6667
Y3Z4A5B6C7,30,2,50,343,54.4500 -127.6000
D8E9F0G1H2,32,7,78,234,53.8167 -131.8500
I3J4K5L6M7,19,5,90,234,49.1333 -123.7333
N8O9P0Q1R2,23,4,100,124,50.6000 -115.9922
S3T4U5V6W7,34,6,101,455,53.0667 -122.0167
X8Y9Z0A1B2,34,7,107,332,53.2500 -122.5667
C3D4E5F6G7,35,8,89,451,50.4694 -122.3231
H8I9J0K1L2,23,5,67,123,52.7833 -127.4833
M3N4O5P6Q7,36,4,83,321,57.7069 -127.6636
R8S9T0U1V2,34,2,23,213,51.5469 -120.0222
W3X4Y5Z6A7,19,3,45,123,53.3833 -132.6667
B8C9D0E1F2,20,5,23,234,51.1667 -126.3833
G3H4I5J6K7,25,4,80,100,51.3000 -126.1167
L8M9N0O1P2,35,1,100,200,54.2167 -122.7500
Q3R4S5T6U7,16,2,34,340,50.9667 -119.1667
V8W9X0Y1Z2,22,3,56,450,51.2083 -120.3694
A4B5C6D7E8,35,8,89,451,51.2000 -120.3667
F9G0H1I2J3,23,5,67,123,55.7000 -121.0000
K4L5M6N7O8,36,4,83,321,50.1500 -124.6333
P9Q0R1S2T3,34,2,23,213,49.0697 -120.7833
U4V5W6X7Y8,19,3,45,123,50.7500 -126.5000
Z9A0B1C2D3,20,5,23,234,50.6167 -118.9500
E4F5G6H7I8,25,4,80,100,53.6500 -129.6000
J9K0L1M2N3,35,1,100,200,53.6333 -129.6500
O4P5Q6R7S8,16,2,34,340,53.6167 -129.6667
T9U0V1W2X3,22,3,56,450,54.3667 -124.0000
Y4Z5A6B7C8,16,4,56,200,51.0000 -121.5000
D9E0F1G2H3,23,9,89,340,58.5000 -124.5000
I4J5K6L7M8,35,2,67,450,50.9500 -121.2667
N9O0P1Q2R3,23,3,83,135,52.5000 -128.0000
S4T5U6V7W8,45,9,23,234,50.0239 -125.3167
X9Y0Z1A2B3,22,3,45,560,50.6167 -115.0833
C4D5E6F7G8,26,10,70,500,49.8667 -114.8333
H9I0J1K2L3,29,14,23,450,54.2500 -128.5000
M4N5O6P7Q8,30,10,80,160,49.2500 -123.6667
R9S0T1U2V3,34,7,100,356,50.2606 -119.3442
W4X5Y6Z7A8,32,6,34,234,54.0000 -122.6667
B9C0D1E2F3,19,2,56,345,54.1000 -128.6167
G4H5I6J7K8,23,3,78,554,49.4000 -115.0833
L9M0N1O2P3,29,2,30,532,49.3667 -121.4500
Q4R5S6T7U8,26,4,200,532,50.5333 -119.0167
V9W0X1Y2Z3,35,3,34,332,49.7667 -119.7667
A5B6C7D8E9,30,2,50,343,55.4667 -124.5667
F0G1H2I3J4,32,7,78,234,49.3167 -124.3167
K5L6M7N8O9,19,5,90,234,53.7000 -125.3500
P0Q1R2S3T4,23,4,100,124,52.5000 -128.5000
U5V6W7X8Y9,34,6,101,455,50.6667 -121.7667
Z0A1B2C3D4,34,7,107,332,54.6667 -121.6833
E5F6G7H8I9,35,8,89,451,49.2333 -117.2333
J0K1L2M3N4,23,5,67,123,54.0500 -123.2667
O5P6Q7R8S9,36,4,83,321,50.0833 -123.3167
T0U1V2W3X4,34,2,23,213,50.9333 -127.9500
Y5Z6A7B8C9,19,3,45,123,54.1333 -125.5833
D0E1F2G3H4,20,5,23,234,54.5667 -127.2000
I5J6K7L8M9,25,4,80,100,54.5667 -121.0000
N0O1P2Q3R4,35,1,100,200,49.8167 -123.1667
S5T6U7V8W9,16,2,34,340,50.3833 -125.8333
X0Y1Z2A3B4,22,3,56,450,54.2500 -128.8667
C5D6E7F8G9,25,4,23,123,54.5333 -128.6667
H0I1J2K3L4,24,2,80,321,54.4833 -126.6000
N5O6P7Q8R9,36,3,90,213,54.4000 -128.7000
A6B7C8D9E0,34,4,34,123,49.5167 -124.7667
F1G2H3I4J5,45,5,56,234,53.3833 -124.3167
K6L7M8N9O0,25,3,78,100,56.9167 -125.7500
P1Q2R3S4T5,26,12,30,200,51.5667 -119.3167
U6V7W8X9Y0,34,3,200,340,50.1333 -119.4500
Z1A2B3C4D5,24,5,34,450,52.8500 -128.4000
E6F7G8H9I0,23,6,50,560,51.7500 -121.6667
J1K2L3M4N5,34,7,78,500,49.3667 -126.0000
O6P7Q8R9S0,32,12,100,450,53.6333 -129.6500
T1U2V3W4X5,32,10,200,160,53.8333 -122.9333
Y6Z7A8B9C0,23,7,300,356,58.6667 -122.7500
D1E2F3G4H5,32,5,80,234,50.5500 -126.5000
I6J7K8L9M0,27,13,67,345,50.1500 -125.3667
N1O2P3Q4R5,27,2,90,554,54.5000 -128.6667
S6T7U8V9W0,34,3,100,532,49.6167 -123.9500
X1Y2Z3A4B5,32,5,290,532,49.6167 -123.9500
C6D7E8F9G0,26,3,233,332,54.0167 -125.0000
H1I2J3K4L5,30,1,70,343,49.4167 -121.5000
M6N7O8P9Q0,32,3,89,234,49.5000 -121.4000
R1S2T3U4V5,19,6,234,234,54.7500 -124.6667
W6X7Y8Z9A0,23,9,234,124,50.3667 -120.1667
B1C2D3E4F5,34,2,90,455,50.7833 -121.7000
G6H7I8J9K0,34,7,50,332,48.3847 -123.9611
L1M2N3O4P5,35,5,78,451,49.1667 -123.8667
Q6R7S8T9U0,23,4,100,123,48.9167 -123.5500
V1W2X3Y4Z5,36,6,200,321,49.3167 -123.9500
A7B8C9D0E1,24,7,300,213,49.6267 -124.0278
F2G3H4I5J6,23,8,80,123,49.9586 -123.1208
K7L8M9N0O1,34,5,67,234,49.7833 -124.5000
P2Q3R4S5T6,35,4,90,124,49.4833 -123.5167
U7V8W9X0Y1,16,2,100,455,49.4000 -115.2500
Z2A3B4C5D6,22,3,290,332,49.4167 -115.2500
E7F8G9H0I1,25,4,233,451,49.0833 -118.3667
J2K3L4M5N6,24,5,70,123,54.8000 -129.0000
O7P8Q9R0S1,23,3,89,321,53.9167 -122.6667
T2U3V4W5X6,36,12,234,213,54.3167 -129.5000
Y7Z8A9B0C1,34,3,234,123,53.5833 -130.6667
D2E3F4G5H6,19,5,70,234,49.0833 -118.2500
I7J8K9L0M1,20,7,90,245,59.3167 -134.3167
N2O3P4Q5R6,25,8,23,236,52.0833 -127.7500
S7T8U9V0W1,35,5,45,374,50.1167 -117.1000
X2Y3Z4A5B6,16,4,78,346,50.8000 -127.6167
C7D8E9F0G1,22,2,90,356,52.8167 -128.5667
H2I3J4K5L6,25,3,45,35,49.8833 -126.0500
M7N8O9P0Q1,24,10,65,64,49.3667 -122.5667
R2S3T4U5V6,32,10,200,160,53.9000 -132.4167
W7X8Y9Z0A1,23,7,300,356,50.6667 -121.1667
B2C3D4E5F6,32,5,80,234,48.4667 -123.5500
G7H8I9J0K1,27,13,67,345,52.7667 -128.6167
L2M3N4O5P6,27,2,90,554,51.5833 -128.0667
Q7R8S9T0U1,34,3,100,532,48.8667 -124.1167
V2W3X4Y5Z6,32,5,290,532,48.5667 -123.5333
A8B9C0D1E2,26,3,233,332,56.2500 -123.5667
F3G4H5I6J7,30,1,70,343,49.5000 -118.8333
K8L9M0N1O2,32,3,89,234,58.6000 -124.9667
P3Q4R5S6T7,19,6,234,234,50.1667 -118.8167
U8V9W0X1Y2,23,9,234,124,56.6333 -132.0833
Z3A4B5C6D7,34,2,90,455,50.8667 -118.4000
E8F9G0H1I2,34,7,50,332,52.7833 -128.2667
J3K4L5M6N7,35,5,78,451,51.5500 -121.2833
O8P9Q0R1S2,23,4,100,123,50.6167 -120.4167
T3U4V5W6X7,36,6,200,321,49.4667 -117.6333
Y8Z9A0B1C2,24,7,300,213,53.0167 -129.2667
D3E4F5G6H7,23,8,80,123,55.6500 -121.6667
I8J9K0L1M2,34,5,67,234,50.8667 -122.5333
N3O4P5Q6R7,35,4,90,124,50.4833 -125.9500
S8T9U0V1W2,16,2,100,455,54.3167 -130.1333
X3Y4Z5A6B7,23,2,50,346,51.6500 -128.1167
C8D9E0F1G2,36,3,78,356,50.4000 -123.1167
H3I4J5K6L7,24,5,100,35,49.4500 -123.3833
M8N9O0P1Q2,23,3,200,64,52.5167 -117.6833
R3S4T5U6V7,34,1,300,160,59.4167 -127.7000
W8X9Y0Z1A2,35,3,80,356,57.7167 -129.9833
B3C4D5E6F7,16,6,67,234,49.7167 -124.0000
G8H9I0J1K2,23,9,90,345,50.1667 -123.8000
L3M4N5O6P7,36,2,100,554,50.1333 -122.4000
Q8R9S0T1U2,24,7,290,532,50.3167 -125.3667
V3W4X5Y6Z7,23,5,233,532,58.0000 -123.0000
A9B0C1D2E3,34,4,70,332,49.0333 -119.4500
F4G5H6I7J8,35,6,89,343,55.4167 -121.9500
K9L0M1N2O3,16,7,234,234,49.3167 -122.7667
P4Q5R6S7T8,22,8,234,234,50.0833 -115.5500
U9V0W1X2Y3,25,5,90,124,49.5333 -124.6833
Z4A5B6C7D8,24,4,50,455,49.0833 -123.7833
E9F0G1H2I3,32,2,78,332,50.7833 -119.2167
J4K5L6M7N8,23,3,100,451,49.3667 -126.6667
O9P0Q1R2S3,32,4,200,123,49.3667 -126.6000
T4U5V6W7X8,27,5,300,321,54.3833 -126.0833
Y9Z0A1B2C3,27,3,80,213,56.2667 -121.5000
D4E5F6G7H8,34,12,67,235,52.3833 -127.8167
I9J0K1L2M3,32,3,90,909,53.5667 -126.6167
N4O5P6Q7R8,26,5,100,864,50.8833 -124.8833
S9T0U1V2W3,30,6,290,789,51.6167 -125.4167
X4Y5Z6A7B8,32,7,233,808,48.8333 -124.0833
C9D0E1F2G3,19,12,70,160,49.3667 -124.6667
H4I5J6K7L8,23,10,89,356,54.5833 -127.7667
M9N0O1P2Q3,34,7,80,234,52.3333 -121.3667
R4S5T6U7V8,27,5,67,345,52.3667 -128.0167
W9X0Y1Z2A3,27,13,90,554,53.0000 -127.0000
G1H2I3J4K6,34,3,100,532,49.0000 -123.9333
L7M8N9O0P2,32,5,290,532,51.1500 -127.3000
Q1R2S3T4U6,26,3,233,332,60.1167 -128.9333
V7W8X9Y0Z2,30,1,70,343,50.7667 -121.8667
A1B2C3D4E7,32,3,89,234,52.6500 -125.5833
F7G8H9I0J2,19,6,234,234,58.4167 -125.6667
K1L2M3N4O7,23,9,234,124,49.0667 -119.5667
P7Q8R9S0T2,34,2,90,455,49.9333 -124.4833
U1V2W3X4Y7,34,7,50,332,49.9333 -118.2167
Z7A8B9C0D2,35,5,78,451,56.8167 -130.2667
E1F2G3H4I7,23,4,100,123,52.7500 -125.3333
J7K8L9M0N2,36,6,200,321,52.9167 -119.4000
O1P2Q3R4S7,24,7,300,213,49.1333 -119.4500
T7U8V9W0X2,23,8,80,123,52.2167 -128.1500
Y1Z2A3B4C7,34,5,67,234,50.1167 -124.9333
D7E8F9G0H2,35,4,90,124,50.5000 -115.9833
I1J2K3L4M7,16,2,100,455,49.4833 -124.2167
N7O8P9Q0R2,23,3,50,356,52.5000 -128.2500
S1T2U3V4W7,34,6,78,35,49.1000 -118.6500
X7Y8Z9A0B2,34,9,100,64,49.4667 -115.7667
C1D2E3F4G7,35,2,200,160,50.3333 -122.4833
H7I8J9K0L2,23,7,300,356,49.0167 -119.2167
M1N2O3P4Q7,36,5,80,234,48.3667 -124.1167
R7S8T9U0V2,24,4,67,345,51.3833 -127.7000
W1X2Y3Z4A7,23,6,90,554,52.2500 -122.3333
B7C8D9E0F2,34,7,100,532,50.7500 -121.3333
G1H2I3J4K8,35,8,290,532,54.0500 -120.0833
L7M8N9O0P3,16,5,233,332,50.2336 -119.3244
Q1R2S3T4U8,29,4,70,343,54.0333 -131.7833
V7W8X9Y0Z3,38,7,89,234,52.6167 -127.1333
A2B3C4D5E8,27,10,89,234,53.6167 -129.7500
F7G8H9I0J3,27,8,90,124,50.1833 -119.3000
K2L3M4N5O8,29,10,39,455,53.9000 -130.3000
P7Q8R9S0T3,32,10,200,160,49.0500 -125.6500
U2V3W4X5Y8,23,7,300,356,49.1167 -125.4833
Z7A8B9C0D3,32,5,80,234,49.8833 -120.3000
E2F3G4H5I8,27,13,67,345,49.1833 -119.8500
J7K8L9M0N3,27,2,90,554,49.0833 -118.7333
O2P3Q4R5S8,34,3,100,532,54.6833 -129.8833
T7U8V9W0X3,32,5,290,532,54.6833 -130.1000
Y2Z3A4B5C8,26,3,233,332,54.7667 -130.1500
D7E8F9G0H3,30,1,70,343,54.7000 -130.0667
I2J3K4L5M8,32,3,89,234,54.3000 -130.3833
N7O8P9Q0R3,19,6,234,234,49.6667 -116.1667
S2T3U4V5W8,23,9,234,124,49.5667 -119.6167
X7Y8Z9A0B3,34,2,90,455,49.3000 -115.1833
C2D3E4F5G8,34,7,50,332,51.7667 -127.6833
H7I8J9K0L3,35,5,78,451,49.2500 -121.9333
M2N3O4P5Q8,23,4,100,123,52.6167 -127.7500
R7S8T9U0V3,36,6,200,321,49.7000 -124.9333
W2X3Y4Z5A8,24,7,300,213,57.5333 -129.6167
B7C8D9E0F3,23,8,80,123,51.0333 -125.9000
G2H3I4J5K8,34,5,67,234,50.9500 -126.1167
L7M8N9O0P4,35,4,90,124,50.5333 -119.1667
Q2R3S4T5U8,16,2,100,455,50.5667 -119.1167
V7W8X9Y0Z4,35,2,233,234,55.7500 -120.6333
A3B4C5D6E8,16,3,70,100,55.7833 -120.5000
F7G8H9I0J4,22,10,89,200,52.7333 -128.5000
K3L4M5N6O8,25,14,234,340,53.9833 -128.6333
P7Q8R9S0T4,24,10,234,450,54.0833 -130.3667
U3V4W5X6Y8,23,7,90,123,54.5000 -128.6667
Z7A8B9C0D4,36,6,50,321,49.7833 -124.9500
E3F4G5H6I8,34,2,78,213,55.0667 -128.0833
J7K8L9M0N4,19,3,100,123,48.7333 -124.6833
O3P4Q5R6S8,20,2,200,234,50.2000 -127.3667
T7U8V9W0X4,25,4,300,100,54.5167 -128.4333
Y3Z4A5B6C8,35,3,80,200,53.9667 -129.5000
D7E8F9G0H4,16,2,67,340,53.9333 -129.5000
I3J4K5L6M8,22,7,90,450,52.9500 -128.2667
N7O8P9Q0R4,25,5,100,560,55.8333 -122.5833
S3T4U5V6W8,24,4,20,500,58.8167 -124.6333
X7Y8Z9A0B4,32,6,10,450,53.5833 -124.3667
C3D4E5F6G8,23,7,45,160,53.0833 -129.6833
H7I8J9K0L4,32,8,234,356,52.8833 -129.6833
M3N4O5P6Q8,27,5,90,234,52.2167 -127.6667
R7S8T9U0V4,27,4,10,345,49.6167 -117.0167
W3X4Y5Z6A8,34,2,23,554,49.7500 -117.0000
B7C8D9E0F4,32,3,400,532,48.7833 -123.7667
G3H4I5J6K8,26,5,60,532,49.7500 -116.9333
L7M8N9O0P5,30,4,200,160,53.1667 -128.6167
Q3R4S5T6U8,23,1,300,356,58.5167 -122.8333
