park_id,Park_name,Year_established,Coordinates
332,Gowlland Tod Provincial Park,1995,"48.5667, -123.5333"
333,Graham-Laurier Provincial Park,1999,"56.2500, -123.5667"
334,Granby Provincial Park,1995,"49.5000, -118.8333"
335,Grayling River Hot Springs Ecological Reserve,2000,"58.6000, -124.9667"
336,Graystokes Protected Area,2001,"50.1667, -118.8167"
337,Great Glacier Provincial Park,2001,"56.6333, -132.0833"
338,Greenbush Lake Protected Area ,2001,"50.8667, -118.4000"
339,Green Inlet Marine Provincial Park,1992,"52.7833, -128.2667"
340,Green Lake Provincial Park,1975,"51.5500, -121.2833"
341,Greenstone Mountain Provincial Park,1996,"50.6167, -120.4167"
342,Grohman Narrows Provincial Park,1981,"49.4667, -117.6333"
343,Gunboat Harbour Conservancy,2008,"53.0167, -129.2667"
344,Gwillim Lake Provincial Park,1981,"55.6500, -121.6667"
345,Gwyneth Lake Provincial Park,2010,"50.8667, -122.5333"
346,Yorke Island Conservancy,2007,"50.4833, -125.9500"
347,Hai Lake-Mount Herman Provincial Park,2004,"54.3167, -130.1333"
348,Haley Lake Ecological Reserve,1987,"50.4000, -123.1167"
349,Halkett Bay Marine Provincial Park,1988,"49.4500, -123.3833"
350,Hamber Provincial ParkÊ,1941,"52.5167, -117.6833"
351,Hanna-Tintina Conservancy,2013,"59.4167, -127.7000"
352,Harbour Dudgeon Lakes Provincial Park,1996,"57.7167, -129.9833"
353,Hardy Island Marine Provincial Park,1992,"49.7167, -124.0000"
354,Harmony Islands Marine Provincial Park,1992,"50.1667, -123.8000"
355,Harry Lake Aspen Provincial Park,1996,"50.1333, -122.4000"
356,Hay River Protected Area ,2001,"58.0000, -123.0000"
357,Haynes Lease Ecological Reserve,1980,"49.0333, -119.4500"
358,Heather-Dina Lakes Provincial Park,2001,"55.4167, -121.9500"
359,Heather Lake Ecological Reserve,1978,"49.3167, -122.7667"
360,Height of the Rockies Provincial Park,1995,"50.0833, -115.5500"
361,Helliwell Provincial Park,1966,"49.5333, -124.6833"
362,Hemer Provincial Park,1981,"49.0833, -123.7833"
363,Herald Provincial Park,1975,"50.7833, -119.2167"
364,Hesquiat Lake Provincial ParkÊ ,1995,"49.3667, -126.6667"
365,Hesquiat Peninsula Provincial ParkÊ ,1995,"49.3667, -126.6000"
366,High Lakes Basin Provincial Park,1996,"54.3833, -126.0833"
367,Hitchie Creek Provincial Park,1995,"56.2667, -121.5000"
368,Hole-in-the-Wall Provincial Park,2000,"52.3833, -127.8167"
369,Holliday Creek Arch Protected Area ,2001,"53.5667, -126.6167"
370,Homathko Estuary Provincial Park,1997,"50.8833, -124.8833"
371,Homathko River-Tatlayoko Protected Area ,1996,"51.6167, -125.4167"
372,Honeymoon Bay Ecological Reserve,1984,"48.8333, -124.0833"
373,Horne Lake Caves Provincial Park,1971,"49.3667, -124.6667"
374,Horneline Creek Provincial Park,1999,"54.5833, -127.7667"
375,Horsefly Lake Provincial Park,1974,"52.3333, -121.3667"
376,Hotsprings-No Name Creek Conservancy,2008,"52.3667, -128.0167"
377,Huchsduwachsdu Nuyem Jees/Kitlope Heritage Conservancy,1996,"53.0000, -127.0000"
378,Hudson Rocks Ecological Reserve,1996,"49.0000, -123.9333"
379,Hunwadi/Ahnuhati-Bald Conservancy,2006,"51.1500, -127.3000"
380,Hyland River Provincial Park,1964,"60.1167, -128.9333"
381,100 Lakes Plateau Conservancy,2008,"50.7667, -121.8667"
382,Ilgachuz Range Ecological Reserve,1975,"52.6500, -125.5833"
383,Indian LakeÐHitchcock Creek Conservancy,2012,"58.4167, -125.6667"
384,Inkaneep Provincial Park,1956,"49.0667, -119.5667"
385,Inland Lake Provincial Park,2000,"49.9333, -124.4833"
386,Inonoaklin Provincial Park,1929,"49.9333, -118.2167"
387,Iskut River Hot Springs Provincial Park,2001,"56.8167, -130.2667"
388,Itcha Ilgachuz Provincial Park,1995,"52.7500, -125.3333"
389,Jackman Flats Provincial Park,2000,"52.9167, -119.4000"
390,Jackpine Remnant Provincial Park,2001,"49.1333, -119.4500"
391,Jackson Narrows Marine Provincial Park,1992,"52.2167, -128.1500"
392,James Chabot Provincial Park,1979,"50.5000, -115.9833"
393,Jedediah Island Marine Provincial Park,1995,"49.4833, -124.2167"
394,Jesse Falls Protected Area ,2005,"52.5000, -128.2500"
395,Jewel Lake Provincial Park,1981,"49.1000, -118.6500"
396,Jimsmith Lake Provincial Park,1956,"49.4667, -115.7667"
397,Joffre Lakes Provincial Park,1988,"50.3333, -122.4833"
398,Johnstone Creek Provincial Park,1956,"49.0167, -119.2167"
399,Juan de Fuca Provincial Park,1996,"48.3667, -124.1167"
400,Jump Across Conservancy,2008,"51.3833, -127.7000"
401,Junction Sheep Range Provincial Park,1995,"52.2500, -122.3333"
402,Juniper Beach Provincial Park,1989,"50.7500, -121.3333"
403,Kakwa Provincial Park and Protected Area,1987,"54.0500, -120.0833"
404,Kalamalka Lake Provincial Park and Protected Area,1975,"50.2336, -119.3244"
405,Kamdis Conservancy,2008,"54.0333, -131.7833"
406,Katherine Tye Ecological Reserve,1986,"52.6167, -127.1333"
407,Turtle Point Conservancy,2007,"53.6167, -129.7500"
408,Kekuli Bay Provincial Park,1990,"50.1833, -119.3000"
409,Kennedy Island Conservancy,2008,"53.9000, -130.3000"
410,Kennedy Lake Provincial ParkÊ ,1995,"49.0500, -125.6500"
411,Kennedy River Bog Provincial ParkÊ ,1995,"49.1167, -125.4833"
412,Kentucky Alleyne Provincial Park,1981,"49.8833, -120.3000"
413,Keremeos Columns Provincial Park,1931,"49.1833, -119.8500"
414,Kettle River Recreation Area,1972,"49.0833, -118.7333"
415,Khtada Lake Conservancy,2008,"54.6833, -129.8833"
416,Khutzeymateen Inlet Conservancy,2008,"54.6833, -130.1000"
417,Khutzeymateen Inlet West Conservancy,2008,"54.7667, -130.1500"
418,Khutzeymateen Provincial Park,1994,"54.7000, -130.0667"
419,Khyex Conservancy,2008,"54.3000, -130.3833"
420,Kianuko Provincial Park,1995,"49.6667, -116.1667"
421,Kickininee Provincial Park,1970,"49.5667, -119.6167"
422,Kikomun Creek Provincial Park,1972,"49.3000, -115.1833"
423,Kilbella Estuary Conservancy,2007,"51.7667, -127.6833"
424,Kilby Provincial Park,1973,"49.2500, -121.9333"
425,Kimsquit Estuary Conservancy,2008,"52.6167, -127.7500"
426,Kin Beach Provincial Park,1966,"49.7000, -124.9333"
427,Kinaskan Lake Provincial Park,1987,"57.5333, -129.6167"
